a2,a2_v
1.25393,0.139504
1.26677,0.128441
1.27852,0.117488
1.28918,0.106661
1.29878,0.0959755
1.30733,0.0854487
1.31484,0.0750986
1.32133,0.0649446
1.32683,0.0550069
1.33136,0.0453076
1.33495,0.0358699
1.33762,0.0267192
1.33941,0.0178822
1.34035,0.00938748
1.34048,0.00126534
1.33983,-0.00645268
1.33846,-0.013734
1.3364,-0.0205459
1.33372,-0.026856
1.33045,-0.0326336
1.32667,-0.0378509
1.32242,-0.0424842
1.31777,-0.0465155
1.31277,-0.0499341
1.3075,-0.0527372
1.30201,-0.0549315
1.29635,-0.0565329
1.2906,-0.0575672
1.28479,-0.0580686
1.27898,-0.0580792
1.27322,-0.0576473
1.26754,-0.0568256
1.26197,-0.0556692
1.25655,-0.0542341
1.25129,-0.052575
1.24621,-0.0507445
1.24133,-0.0487916
1.23666,-0.0467612
1.23219,-0.0446934
1.22793,-0.0426235
1.22387,-0.0405821
1.22001,-0.038595
1.21634,-0.0366838
1.21285,-0.034866
1.20954,-0.0331557
1.20638,-0.0315637
1.20337,-0.030098
1.2005,-0.0287644
1.19774,-0.0275666
1.19509,-0.0265064
1.19253,-0.0255844
1.19005,-0.0247998
1.18763,-0.0241508
1.18527,-0.0236349
1.18295,-0.0232489
1.18065,-0.0229889
1.17836,-0.0228506
1.17608,-0.0228294
1.17379,-0.0229206
1.17148,-0.0231188
1.16913,-0.023419
1.16675,-0.0238156
1.16432,-0.0243032
1.16183,-0.0248763
1.15928,-0.0255291
1.15666,-0.0262562
1.15395,-0.0270518
1.15116,-0.0279103
1.14828,-0.0288261
1.1453,-0.0297935
1.14222,-0.0308069
1.13903,-0.0318606
1.13574,-0.032949
1.13233,-0.0340666
1.12881,-0.0352077
1.12517,-0.0363667
1.12142,-0.037538
1.11755,-0.038716
1.11356,-0.0398951
1.10945,-0.0410697
1.10523,-0.042234
1.10089,-0.0433825
1.09644,-0.0445093
1.09188,-0.0456089
1.08721,-0.0466753
1.08244,-0.0477027
1.07757,-0.0486853
1.07261,-0.0496171
1.06756,-0.0504922
1.06243,-0.0513044
1.05722,-0.0520477
1.05195,-0.0527157
1.04662,-0.0533023
1.04124,-0.0538012
1.03582,-0.0542057
1.03037,-0.0545096
1.0249,-0.0547061
1.01942,-0.0547886
1.01395,-0.0547503
1.00849,-0.0545846
1.00306,-0.0542844
0.997675,-0.053843
0.99235,-0.0532532
0.987099,-0.0525083
0.981939,-0.0516013
0.976886,-0.0505252
0.971959,-0.0492732
0.967175,-0.0478386
0.962554,-0.0462149
0.958114,-0.0443957
0.953876,-0.0423752
0.949862,-0.0401477
0.946091,-0.0377085
0.942586,-0.0350531
0.939368,-0.0321785
0.936459,-0.0290826
0.933883,-0.0257646
0.93166,-0.0222259
0.929813,-0.0184699
0.928363,-0.014503
0.92733,-0.0103348
0.926732,-0.00597919
