step,walk_1_x,walk_1_y,walk_2_x,walk_2_y,walk_3_x,walk_3_y,walk_4_x,walk_4_y,walk_5_x,walk_5_y,walk_6_x,walk_6_y,walk_7_x,walk_7_y,walk_8_x,walk_8_y,walk_9_x,walk_9_y,walk_10_x,walk_10_y
52,4,4,-7,1,3,11,-3,4,-5,-1,1,1,-5,-10,3,-8,1,-4,3,3
53,5,5,-7,1,4,10,-4,4,-4,-1,1,1,-4,-11,2,-8,2,-5,4,3
54,6,4,-7,2,3,11,-5,5,-4,-1,1,0,-5,-12,1,-7,1,-4,4,2
55,6,4,-7,1,4,10,-4,4,-5,-2,1,0,-5,-11,0,-8,1,-3,3,3
56,5,4,-6,2,3,11,-5,5,-6,-1,2,-1,-6,-12,-1,-8,1,-4,3,2
57,4,3,-6,1,3,12,-6,4,-5,0,1,-2,-5,-11,-2,-8,1,-5,4,1
58,4,3,-7,2,4,12,-7,5,-4,1,0,-2,-4,-11,-2,-9,0,-4,3,1
59,3,3,-6,1,4,12,-8,6,-5,1,0,-3,-3,-11,-1,-8,-1,-4,3,1
60,2,2,-7,2,3,13,-8,6,-6,1,1,-3,-4,-11,0,-9,0,-3,4,1
61,1,2,-7,2,4,13,-9,7,-5,2,1,-2,-5,-12,1,-10,1,-3,4,0
62,2,1,-7,3,3,13,-10,6,-6,3,2,-1,-4,-13,1,-10,2,-2,3,-1
63,3,1,-6,4,3,13,-10,6,-6,3,2,-1,-4,-12,2,-11,2,-1,4,-1
64,4,2,-5,5,2,14,-11,5,-5,2,2,0,-4,-11,1,-11,1,0,5,-2
65,5,2,-4,5,1,14,-11,6,-6,2,3,-1,-3,-11,0,-12,2,0,4,-1
66,4,2,-5,6,0,13,-12,5,-7,2,2,0,-4,-12,0,-12,2,-1,4,0
67,4,3,-5,7,0,13,-11,5,-8,3,3,1,-3,-11,-1,-13,3,-2,4,0
68,5,3,-4,6,0,12,-12,6,-9,3,3,1,-3,-11,-1,-13,2,-1,3,0
69,4,2,-3,7,1,12,-12,7,-8,3,3,2,-3,-10,-1,-14,3,0,2,-1
70,3,3,-2,7,0,11,-11,7,-8,3,4,1,-4,-11,-2,-13,2,-1,3,0
71,4,3,-3,8,0,10,-10,6,-9,2,5,1,-5,-11,-1,-14,2,-2,3,0
72,5,3,-4,8,1,9,-10,7,-9,2,6,0,-6,-12,-1,-13,1,-1,2,-1
73,5,4,-4,8,0,10,-9,7,-8,3,7,-1,-5,-11,-2,-12,0,-2,2,-2
74,6,3,-3,7,0,11,-9,8,-9,2,7,-2,-4,-12,-1,-12,0,-2,2,-2
75,7,4,-2,8,-1,12,-9,8,-10,2,8,-3,-4,-13,-1,-13,-1,-1,3,-2
76,8,3,-1,9,0,12,-9,9,-11,3,9,-3,-5,-13,0,-14,-1,-1,3,-3
77,9,2,-2,10,1,12,-9,9,-12,4,8,-3,-6,-13,0,-14,-1,0,2,-3
78,8,2,-3,11,1,12,-10,8,-13,4,8,-3,-7,-13,0,-14,-1,0,3,-3
79,8,1,-2,11,1,13,-11,7,-13,4,7,-4,-7,-13,0,-14,-1,-1,3,-3
80,9,1,-1,12,1,14,-12,7,-12,4,8,-4,-6,-14,0,-14,0,-2,4,-2
81,9,2,-1,11,2,15,-12,6,-12,4,7,-3,-6,-15,-1,-15,1,-1,5,-1
82,8,2,-2,12,1,14,-13,7,-13,3,6,-3,-7,-16,-1,-16,2,-1,5,0
83,9,1,-1,11,1,14,-14,8,-13,2,7,-4,-7,-15,-1,-17,1,0,6,0
84,10,2,0,12,1,13,-13,8,-12,2,6,-4,-7,-14,-1,-18,2,0,6,-1
85,9,2,1,12,2,12,-12,9,-12,1,7,-4,-7,-15,-2,-19,1,-1,5,-1
86,10,2,1,13,3,11,-11,9,-13,0,6,-3,-7,-15,-2,-18,0,0,4,-1
87,11,2,1,13,3,11,-11,9,-12,0,5,-3,-7,-14,-3,-17,1,1,4,-1
88,10,1,2,12,2,12,-12,8,-12,1,6,-2,-8,-15,-3,-18,2,1,3,0
89,11,1,3,11,3,13,-11,8,-12,2,7,-2,-7,-16,-3,-17,2,1,3,0
90,12,2,4,12,2,13,-10,7,-13,3,7,-1,-8,-15,-3,-18,1,0,2,1
91,11,2,5,13,1,14,-9,8,-13,3,6,-2,-9,-15,-3,-17,2,-1,3,1
92,12,2,6,14,1,13,-8,9,-12,2,5,-3,-10,-16,-4,-17,3,-2,2,0
93,11,1,7,14,2,14,-8,8,-11,3,5,-4,-10,-16,-3,-17,3,-2,1,1
94,10,2,6,13,1,14,-7,9,-10,3,5,-5,-11,-17,-4,-18,4,-3,0,0
95,10,1,6,13,2,14,-7,9,-11,3,6,-4,-11,-18,-4,-18,3,-3,1,-1
96,10,0,5,13,1,13,-7,9,-10,4,7,-5,-12,-19,-3,-18,2,-3,1,-2
97,10,1,5,13,1,13,-6,9,-11,3,7,-6,-13,-19,-2,-19,1,-2,2,-1
98,10,0,4,12,1,12,-5,8,-11,4,6,-7,-14,-18,-1,-19,2,-3,3,-1
99,11,1,5,12,2,13,-5,8,-10,4,7,-7,-15,-18,-1,-18,1,-3,3,-2
100,10,1,5,11,1,14,-5,9,-9,5,7,-7,-15,-17,-2,-18,1,-2,3,-2
101,10,2,5,12,1,14,-4,8,-8,4,6,-6,-16,-18,-3,-18,0,-3,3,-3
102,11,1,6,12,2,15,-5,9,-9,4,5,-7,-16,-18,-3,-17,-1,-3,3,-4
103,10,2,7,13,1,16,-5,9,-9,3,5,-7,-17,-18,-4,-18,0,-3,2,-5
104,9,1,7,12,0,15,-5,8,-10,2,6,-6,-18,-18,-4,-19,0,-3,1,-5
105,9,1,8,13,-1,15,-5,8,-11,2,5,-5,-18,-19,-4,-19,1,-4,0,-5
106,10,0,8,13,-2,16,-5,7,-11,1,6,-6,-17,-20,-4,-18,0,-3,-1,-4
107,9,1,8,14,-1,16,-6,6,-12,2,7,-5,-17,-19,-5,-19,1,-3,-1,-5
108,9,2,7,15,-1,16,-5,7,-12,2,8,-6,-16,-20,-6,-19,2,-3,-2,-5
109,10,3,7,15,-1,16,-6,8,-13,1,8,-7,-17,-20,-7,-20,3,-4,-3,-5
110,10,4,6,16,0,17,-6,7,-14,1,9,-6,-17,-21,-6,-20,3,-3,-4,-5
111,9,4,5,16,1,16,-7,7,-13,0,9,-6,-16,-20,-7,-21,4,-3,-4,-6
112,8,4,6,15,2,15,-8,7,-13,-1,8,-6,-17,-19,-6,-22,5,-2,-4,-6
113,8,4,6,16,1,16,-8,6,-13,-2,8,-5,-16,-20,-7,-21,4,-3,-4,-6
114,9,5,7,16,1,17,-9,5,-14,-1,8,-6,-16,-20,-6,-21,3,-3,-3,-6
115,8,6,8,16,0,16,-8,6,-13,-1,8,-7,-17,-21,-7,-20,2,-3,-3,-7
116,9,6,7,15,1,16,-7,5,-12,-1,9,-7,-16,-20,-7,-19,1,-4,-4,-7
117,9,6,8,16,1,15,-8,6,-11,-1,10,-7,-17,-19,-7,-18,1,-5,-3,-8
118,8,7,9,17,1,15,-9,6,-12,-2,9,-7,-18,-19,-7,-19,0,-5,-3,-8
119,7,7,8,17,1,15,-10,5,-11,-3,10,-7,-19,-19,-6,-18,0,-5,-2,-7
120,6,6,9,16,2,15,-9,5,-11,-3,11,-7,-19,-19,-5,-18,-1,-4,-1,-8
121,6,6,9,15,2,14,-9,4,-11,-3,11,-7,-18,-19,-5,-17,-1,-3,-2,-8
122,5,7,9,15,3,14,-9,4,-12,-4,10,-7,-17,-19,-5,-16,0,-2,-1,-9
123,5,6,8,14,4,13,-10,4,-13,-3,9,-6,-16,-19,-4,-17,0,-3,-2,-10
124,4,5,8,13,5,12,-11,5,-12,-3,8,-5,-17,-18,-4,-17,1,-3,-2,-11
125,4,4,7,14,5,11,-10,6,-12,-3,7,-4,-16,-17,-3,-16,2,-4,-2,-11
126,3,4,8,13,5,10,-9,6,-12,-3,8,-3,-15,-17,-4,-17,3,-3,-1,-11
127,4,4,7,14,6,9,-9,7,-11,-4,8,-2,-16,-17,-4,-17,3,-3,-2,-12
128,5,5,8,15,7,8,-9,7,-11,-3,9,-1,-17,-16,-4,-18,2,-2,-2,-11
129,6,6,7,14,6,8,-10,6,-11,-4,9,-1,-17,-16,-4,-19,3,-2,-1,-11
130,5,7,6,15,7,8,-11,5,-10,-4,8,-1,-18,-17,-3,-20,2,-1,-1,-12
131,4,8,7,16,6,9,-11,5,-10,-3,9,-2,-18,-16,-4,-21,3,-1,-2,-13
132,4,9,6,16,7,8,-10,4,-11,-3,10,-2,-19,-17,-4,-20,3,0,-3,-12
133,5,10,7,15,8,8,-10,5,-11,-4,10,-2,-20,-18,-3,-20,4,-1,-2,-12
134,6,11,8,15,7,7,-10,4,-11,-5,10,-2,-20,-17,-3,-19,3,-1,-1,-12
135,5,10,7,15,8,6,-11,3,-11,-4,9,-2,-21,-17,-4,-18,3,-1,-1,-11
136,5,11,7,16,7,5,-12,3,-10,-5,10,-2,-20,-18,-5,-18,2,0,-2,-12
137,5,12,7,16,6,4,-12,4,-11,-4,10,-3,-21,-19,-6,-17,3,-1,-3,-13
138,6,11,6,15,6,5,-13,3,-12,-4,10,-3,-20,-20,-6,-16,4,0,-3,-14
139,5,10,7,15,5,6,-12,2,-12,-5,9,-4,-19,-19,-7,-16,5,0,-2,-14
140,4,11,6,15,4,5,-12,3,-12,-4,8,-4,-18,-20,-7,-15,4,-1,-3,-15
141,3,12,7,16,5,4,-13,3,-12,-3,7,-3,-18,-21,-7,-16,3,0,-3,-16
142,3,12,7,15,4,3,-13,4,-11,-4,8,-2,-18,-22,-7,-16,2,0,-4,-15
143,2,11,7,15,5,2,-14,5,-10,-3,9,-1,-19,-21,-6,-16,1,1,-3,-14
144,3,12,7,14,4,3,-15,4,-9,-2,9,0,-20,-22,-5,-17,2,1,-2,-15
145,3,12,6,14,3,2,-15,4,-9,-2,8,0,-20,-22,-4,-17,2,1,-1,-16
146,3,13,6,13,4,3,-16,5,-8,-1,9,-1,-19,-22,-4,-17,1,0,-2,-15
147,3,13,6,14,4,2,-16,4,-9,-2,10,0,-18,-22,-4,-16,2,0,-2,-16
148,3,14,6,15,5,1,-16,5,-9,-2,9,-1,-19,-22,-5,-17,3,1,-2,-17
149,4,14,6,14,4,1,-15,4,-10,-3,9,0,-19,-22,-5,-18,4,0,-1,-17
150,4,15,6,15,5,0,-16,3,-9,-4,8,0,-20,-23,-5,-18,5,1,-1,-17
151,5,15,7,15,6,0,-17,4,-9,-5,9,1,-20,-23,-5,-18,4,1,-1,-16
152,4,16,7,15,5,0,-18,5,-8,-4,8,0,-21,-24,-4,-17,3,0,-1,-16
153,4,17,7,16,4,0,-18,4,-7,-5,8,-1,-21,-23,-3,-18,4,-1,-2,-17
154,5,18,7,15,5,0,-18,5,-7,-4,9,-2,-21,-23,-3,-19,4,-1,-2,-16
155,6,17,7,16,4,1,-19,4,-8,-5,8,-1,-22,-24,-3,-18,5,-1,-3,-15
156,7,18,6,16,4,1,-18,5,-9,-5,8,-1,-21,-23,-4,-17,6,0,-2,-16
157,6,17,7,15,4,2,-17,4,-9,-6,7,-1,-20,-22,-5,-18,5,1,-1,-17
158,6,18,6,15,4,3,-17,3,-10,-5,6,-2,-19,-22,-4,-18,4,2,0,-18
159,5,19,7,14,4,4,-16,2,-9,-5,6,-2,-19,-23,-4,-19,3,2,1,-18
160,4,18,8,13,3,5,-15,2,-10,-4,7,-3,-20,-23,-4,-19,2,3,1,-19
161,4,17,9,12,4,6,-14,1,-10,-3,8,-3,-21,-22,-3,-20,2,4,0,-18
162,4,18,9,11,3,7,-13,2,-9,-3,8,-2,-20,-23,-2,-20,1,5,0,-19
163,4,17,8,12,4,6,-13,3,-9,-2,7,-2,-20,-24,-1,-21,2,4,1,-19
164,3,18,7,11,4,5,-14,3,-10,-1,7,-2,-20,-23,0,-22,3,3,2,-20
165,2,17,8,11,5,5,-14,2,-11,-2,8,-1,-19,-23,-1,-22,3,2,1,-21
166,1,18,7,12,4,6,-13,1,-11,-2,9,-1,-19,-23,-1,-22,2,2,2,-22
167,0,18,6,11,4,5,-12,1,-12,-3,8,-2,-20,-23,-2,-23,2,1,2,-21
168,-1,18,7,12,3,5,-12,2,-11,-3,9,-1,-20,-23,-1,-23,2,1,3,-21
169,0,19,8,13,3,4,-13,3,-10,-4,10,-1,-21,-23,0,-24,2,2,2,-22
170,-1,18,9,12,2,3,-13,3,-11,-4,9,0,-20,-22,0,-23,2,2,3,-21
171,-2,17,9,12,1,3,-13,2,-11,-4,8,-1,-21,-22,1,-24,1,2,4,-22
172,-3,16,10,13,1,4,-12,1,-10,-4,7,-2,-22,-22,2,-24,1,1,4,-21
173,-2,17,10,14,2,5,-11,0,-10,-3,7,-3,-22,-22,3,-23,2,2,3,-20
174,-2,18,10,15,1,4,-12,0,-10,-3,6,-3,-23,-21,3,-22,1,2,3,-21
175,-2,18,10,14,1,4,-13,0,-9,-2,6,-3,-24,-22,3,-21,0,1,3,-20
176,-3,17,11,15,1,4,-13,-1,-8,-3,6,-4,-24,-23,2,-20,0,1,2,-19
177,-4,16,10,14,0,4,-12,-1,-7,-4,6,-4,-23,-24,3,-20,0,2,1,-19
178,-3,15,9,14,1,4,-12,0,-8,-4,5,-4,-24,-25,4,-19,0,1,2,-20
179,-3,16,8,15,0,4,-13,0,-7,-3,4,-3,-25,-26,4,-19,-1,0,2,-19
180,-2,15,8,16,1,3,-13,1,-6,-2,5,-2,-26,-26,4,-19,-2,0,3,-20
181,-2,16,9,16,2,2,-12,1,-6,-2,5,-3,-26,-27,3,-18,-2,-1,3,-20
182,-1,17,10,17,1,2,-13,0,-6,-1,4,-3,-27,-26,4,-18,-2,-1,4,-19
183,-2,18,9,18,2,2,-14,0,-6,-2,5,-2,-27,-26,5,-18,-2,0,4,-18
184,-2,18,9,18,3,2,-15,1,-5,-3,5,-2,-26,-26,5,-17,-2,1,3,-18
185,-3,19,8,17,4,2,-14,0,-6,-3,5,-2,-26,-25,6,-17,-3,1,2,-18
186,-2,20,7,17,3,3,-15,0,-6,-2,4,-3,-26,-24,6,-16,-2,1,3,-18
187,-2,20,6,18,2,2,-14,0,-7,-2,4,-2,-27,-23,7,-17,-1,0,4,-19
188,-3,21,5,17,3,3,-13,-1,-7,-1,4,-3,-28,-22,7,-17,-2,-1,3,-18
189,-3,21,4,17,2,3,-13,-1,-6,-2,5,-2,-28,-22,8,-17,-2,-2,2,-18
190,-3,21,3,18,2,2,-14,0,-7,-1,5,-1,-28,-22,8,-18,-2,-2,2,-17
191,-3,22,3,17,3,3,-13,1,-8,-1,5,-2,-27,-22,9,-18,-2,-2,3,-16
192,-4,22,4,16,3,3,-13,2,-7,-2,6,-1,-28,-23,9,-19,-1,-2,3,-15
193,-4,21,3,17,4,2,-14,1,-7,-3,5,-1,-27,-22,8,-18,-2,-1,4,-14
194,-4,21,2,18,5,1,-14,2,-7,-4,5,-2,-28,-22,9,-17,-3,0,3,-14
195,-3,20,1,17,5,0,-14,3,-7,-4,6,-3,-27,-22,10,-17,-2,-1,4,-14
196,-3,20,1,16,6,0,-14,4,-6,-5,7,-4,-26,-23,10,-17,-3,-2,4,-15
197,-2,20,2,17,5,1,-13,5,-5,-6,8,-3,-27,-24,10,-18,-2,-3,3,-15
198,-3,20,3,16,4,2,-12,4,-5,-7,7,-4,-28,-23,10,-19,-2,-4,4,-16
199,-4,19,3,15,4,2,-12,5,-5,-6,7,-4,-28,-24,9,-19,-1,-5,3,-15
200,-3,19,3,16,4,2,-13,6,-6,-6,8,-5,-28,-23,10,-19,0,-4,2,-15
201,-2,19,3,16,3,2,-13,7,-6,-6,8,-5,-29,-22,11,-19,1,-5,1,-16
202,-1,18,3,16,3,3,-13,8,-6,-6,7,-5,-29,-21,12,-20,0,-6,2,-16
203,-1,17,2,17,4,3,-12,7,-5,-6,7,-4,-30,-22,12,-20,1,-5,3,-15
204,0,18,2,16,4,3,-13,6,-5,-5,8,-5,-30,-22,13,-20,1,-6,3,-14
205,-1,18,1,15,3,4,-13,6,-4,-5,9,-5,-29,-22,14,-21,2,-5,3,-14
206,-1,18,2,15,3,5,-13,6,-3,-5,8,-6,-28,-21,15,-21,2,-6,3,-15
207,0,19,3,14,3,4,-13,7,-4,-4,9,-5,-28,-20,14,-21,3,-5,3,-14
208,1,20,4,14,2,4,-14,6,-5,-5,8,-5,-28,-21,13,-20,4,-6,3,-14
209,1,19,3,15,3,4,-13,6,-6,-5,7,-4,-28,-22,12,-20,4,-7,2,-14
210,1,19,3,14,2,4,-14,6,-5,-5,8,-5,-27,-22,13,-19,3,-8,1,-15
211,2,20,2,13,2,3,-14,5,-5,-5,7,-4,-27,-21,14,-18,3,-9,2,-14
212,2,19,3,14,2,2,-13,5,-5,-5,7,-3,-28,-22,13,-18,4,-9,2,-15
213,3,18,2,15,2,1,-13,4,-6,-4,7,-2,-28,-23,13,-17,5,-10,3,-16
214,4,19,1,16,3,1,-13,4,-6,-5,6,-2,-27,-23,14,-16,5,-11,2,-15
215,3,20,0,16,2,1,-12,4,-5,-5,7,-2,-26,-24,15,-16,4,-11,3,-16
216,4,19,-1,15,1,0,-13,5,-4,-5,6,-2,-26,-24,14,-16,3,-11,4,-15
217,5,19,-2,16,2,1,-13,5,-5,-4,7,-3,-27,-25,13,-15,2,-10,3,-14
218,5,20,-1,17,1,2,-12,6,-4,-5,8,-3,-27,-24,14,-14,3,-9,2,-13
219,5,21,0,18,1,3,-13,6,-4,-6,9,-3,-28,-23,14,-14,4,-9,3,-14
220,5,22,1,18,2,4,-13,6,-5,-5,10,-4,-29,-23,14,-13,3,-9,3,-14
221,5,21,2,19,1,3,-14,5,-4,-4,11,-4,-28,-23,13,-12,3,-8,3,-15
222,5,22,2,18,1,2,-15,5,-5,-4,11,-4,-29,-24,13,-11,4,-9,4,-14
223,6,21,3,18,2,1,-14,6,-6,-5,12,-5,-30,-25,14,-11,5,-9,5,-14
224,6,21,3,18,2,0,-13,6,-5,-6,12,-5,-30,-24,15,-10,5,-10,4,-13
225,7,22,2,18,2,1,-14,6,-5,-7,12,-4,-31,-24,16,-10,6,-9,3,-12
226,7,21,3,19,1,1,-13,7,-5,-6,11,-5,-32,-23,16,-9,6,-10,2,-13
227,8,22,4,20,1,2,-14,7,-5,-6,10,-6,-33,-22,15,-10,6,-9,1,-14
228,8,22,4,21,1,2,-13,7,-5,-6,9,-7,-32,-22,15,-9,6,-9,0,-13
229,8,22,3,21,1,2,-13,6,-5,-6,10,-6,-33,-22,14,-8,5,-9,1,-13
230,7,21,2,20,0,2,-12,5,-6,-5,11,-6,-33,-21,13,-7,6,-10,0,-13
231,6,21,3,19,0,1,-12,6,-6,-4,11,-6,-34,-22,13,-7,7,-11,0,-12
232,6,21,4,19,1,0,-13,7,-7,-5,12,-7,-35,-21,13,-6,8,-10,0,-12
233,7,22,4,18,1,-1,-13,8,-6,-5,13,-6,-34,-21,13,-6,8,-10,1,-13
234,6,23,5,18,2,0,-14,8,-7,-6,13,-6,-35,-21,13,-5,7,-10,2,-12
235,5,23,6,18,2,1,-13,7,-6,-6,14,-6,-36,-21,14,-6,6,-11,1,-11
236,6,23,5,18,1,2,-12,8,-7,-5,13,-5,-37,-21,14,-7,7,-12,0,-11
237,6,24,5,18,2,3,-12,7,-8,-5,12,-4,-37,-21,14,-7,6,-13,-1,-10
238,5,24,4,18,2,3,-11,8,-9,-5,11,-4,-37,-22,14,-7,7,-13,-1,-11
239,5,23,4,18,1,2,-10,9,-10,-4,10,-4,-36,-21,15,-6,8,-14,0,-10
240,4,24,3,19,2,3,-9,10,-10,-5,11,-4,-36,-22,15,-5,9,-13,-1,-10
241,5,24,4,18,3,3,-8,9,-9,-4,12,-4,-35,-23,15,-5,10,-12,0,-11
242,5,25,3,18,2,3,-8,9,-10,-3,13,-3,-35,-24,14,-5,9,-13,0,-10
243,4,25,3,18,1,2,-9,9,-10,-4,13,-4,-35,-23,15,-4,9,-12,1,-11
244,5,24,3,17,2,1,-8,10,-10,-4,14,-4,-35,-22,14,-5,8,-13,2,-10
245,6,25,2,17,2,0,-7,10,-10,-5,14,-5,-36,-23,14,-6,7,-14,3,-11
246,5,26,1,17,2,-1,-6,9,-10,-6,15,-6,-36,-23,13,-6,8,-14,4,-11
247,6,26,0,18,3,-1,-5,8,-11,-6,14,-7,-35,-24,12,-7,7,-15,5,-12
248,5,27,0,19,3,0,-4,9,-11,-7,15,-6,-34,-23,13,-8,7,-14,6,-13
249,5,27,1,19,2,0,-3,9,-11,-7,16,-7,-34,-24,13,-8,8,-13,7,-14
250,5,27,2,19,1,-1,-3,8,-11,-6,16,-7,-33,-23,13,-8,7,-12,6,-14
251,4,27,3,19,1,0,-2,9,-12,-5,17,-6,-33,-23,14,-9,8,-12,6,-14
252,4,27,2,18,1,-1,-1,8,-12,-5,16,-6,-33,-24,14,-10,7,-13,6,-13
253,4,27,2,18,1,0,-2,7,-11,-6,15,-5,-32,-24,13,-9,8,-14,6,-12
254,4,28,3,19,0,0,-2,6,-12,-5,15,-4,-31,-24,12,-10,8,-15,6,-13
255,4,28,4,20,1,-1,-1,5,-11,-5,14,-5,-32,-25,12,-9,7,-16,6,-14
256,5,28,5,20,2,-1,0,6,-10,-6,15,-6,-33,-25,11,-8,7,-17,5,-13
257,5,29,6,19,2,-1,1,5,-9,-6,15,-6,-32,-24,10,-7,7,-16,5,-12
258,4,29,7,18,1,-1,1,4,-10,-6,14,-5,-32,-23,9,-8,7,-17,5,-11
259,4,30,6,19,1,-1,1,5,-9,-5,15,-6,-32,-24,10,-8,6,-18,4,-11
260,4,29,6,19,0,-1,2,6,-10,-4,16,-5,-31,-25,10,-7,5,-19,3,-12
261,4,30,6,19,0,-2,3,7,-9,-4,16,-4,-31,-25,10,-8,4,-20,4,-12
262,4,31,6,18,0,-2,2,8,-9,-5,15,-3,-31,-26,10,-8,3,-20,4,-12
263,3,32,5,19,-1,-3,2,9,-8,-6,15,-2,-30,-25,9,-7,3,-20,5,-12
264,2,33,6,20,-2,-2,1,9,-9,-5,14,-2,-31,-24,9,-7,2,-21,5,-13
265,1,33,6,21,-1,-3,2,8,-10,-5,15,-2,-30,-24,8,-8,3,-21,6,-14
