step,walk_1_x,walk_1_y,walk_2_x,walk_2_y,walk_3_x,walk_3_y,walk_4_x,walk_4_y,walk_5_x,walk_5_y,walk_6_x,walk_6_y,walk_7_x,walk_7_y,walk_8_x,walk_8_y,walk_9_x,walk_9_y,walk_10_x,walk_10_y
37,-3,-4,-7,-1,-3,4,-6,-1,3,0,-2,-2,7,6,-10,1,-7,6,4,2
38,-2,-5,-8,-2,-4,3,-6,-1,2,1,-1,-3,6,5,-9,0,-8,5,3,2
39,-1,-6,-9,-1,-5,3,-5,0,2,1,-2,-4,5,5,-9,-1,-7,5,4,3
40,-2,-6,-10,-1,-6,2,-5,1,2,0,-2,-4,4,4,-9,0,-6,5,4,4
41,-1,-6,-10,-1,-5,3,-4,1,2,-1,-1,-4,3,4,-10,1,-7,6,4,4
42,-1,-7,-9,0,-5,4,-4,0,3,-2,-2,-5,2,5,-9,1,-6,7,5,4
43,-1,-7,-10,0,-4,5,-5,0,2,-2,-2,-6,3,5,-8,1,-6,8,4,5
44,-1,-8,-10,1,-5,6,-4,0,2,-2,-3,-5,2,6,-9,1,-5,9,5,5
45,0,-7,-10,1,-4,5,-4,1,2,-3,-4,-4,2,5,-8,0,-4,10,5,4
46,1,-7,-10,0,-5,6,-3,2,1,-4,-4,-3,3,6,-9,-1,-4,11,5,5
47,0,-8,-10,1,-4,5,-4,2,1,-5,-4,-3,3,5,-10,-2,-3,11,6,6
48,0,-7,-9,2,-5,5,-3,2,0,-5,-5,-4,3,4,-10,-1,-4,12,7,6
49,1,-8,-9,1,-6,4,-4,2,0,-6,-4,-4,2,4,-9,0,-5,11,8,5
50,1,-8,-10,2,-7,5,-5,1,0,-7,-3,-5,1,4,-10,-1,-4,10,7,4
51,2,-7,-10,2,-8,4,-5,2,1,-7,-4,-5,2,5,-9,0,-4,11,7,5
52,3,-8,-10,1,-7,3,-5,1,2,-7,-3,-4,2,4,-10,1,-5,10,7,5
53,3,-8,-11,2,-8,2,-6,2,2,-8,-3,-5,2,5,-11,1,-6,9,8,4
54,3,-9,-11,3,-8,3,-6,1,2,-8,-2,-6,1,5,-11,0,-7,10,9,5
55,3,-10,-12,2,-7,2,-6,2,3,-9,-2,-6,0,4,-11,-1,-8,11,9,5
56,2,-11,-11,1,-8,1,-6,3,2,-10,-3,-5,0,3,-10,-2,-8,10,10,6
57,3,-10,-12,2,-8,1,-5,2,3,-10,-2,-6,1,3,-10,-1,-8,9,9,6
58,2,-11,-11,2,-9,2,-4,1,2,-9,-1,-5,0,4,-11,-2,-9,9,9,5
59,2,-11,-12,1,-8,3,-5,1,3,-8,0,-4,1,5,-10,-1,-9,10,9,5
60,1,-11,-13,1,-8,2,-5,2,3,-8,0,-3,0,4,-10,0,-8,10,10,5
61,1,-11,-12,0,-9,1,-4,2,4,-8,0,-2,1,5,-9,1,-9,9,9,5
62,2,-11,-12,1,-8,2,-3,3,3,-8,1,-3,0,4,-10,0,-10,8,9,5
63,1,-11,-11,1,-8,1,-3,3,2,-7,0,-3,0,3,-10,0,-11,7,10,4
64,2,-12,-10,2,-8,2,-2,3,3,-6,-1,-2,1,3,-11,-1,-10,7,11,5
65,3,-13,-10,1,-8,3,-3,4,3,-7,0,-3,1,2,-11,-2,-11,7,11,5
66,2,-12,-11,0,-9,4,-3,3,2,-6,0,-4,2,1,-11,-3,-11,7,12,4
67,1,-12,-12,0,-10,4,-2,4,3,-6,1,-3,3,0,-10,-3,-11,7,12,3
68,1,-11,-12,1,-10,4,-3,3,3,-5,0,-3,4,-1,-10,-3,-10,8,12,3
69,0,-12,-11,0,-10,3,-4,2,3,-6,1,-2,3,-2,-10,-2,-11,8,12,4
70,-1,-11,-11,-1,-11,2,-4,2,3,-7,2,-2,2,-3,-10,-2,-10,8,11,3
71,-1,-10,-11,-1,-11,3,-5,3,3,-7,3,-1,1,-3,-9,-3,-10,8,12,4
72,0,-11,-12,-2,-10,2,-6,4,4,-6,4,-1,2,-2,-10,-2,-9,8,11,4
73,1,-12,-11,-3,-9,2,-7,3,5,-5,5,-2,1,-3,-9,-1,-9,8,11,4
74,0,-13,-11,-3,-9,1,-8,2,5,-6,6,-1,1,-2,-10,-1,-10,7,12,5
75,1,-12,-11,-3,-9,2,-9,3,6,-6,5,-2,1,-2,-11,-2,-10,8,13,5
76,0,-12,-10,-2,-8,2,-10,4,5,-5,5,-1,2,-1,-11,-1,-11,8,13,4
77,0,-12,-11,-2,-9,1,-9,4,6,-6,4,-1,2,-2,-12,-2,-11,7,12,4
78,-1,-12,-12,-3,-8,1,-9,5,6,-6,5,-1,1,-3,-13,-3,-11,6,11,5
79,-1,-13,-12,-3,-7,0,-9,6,6,-7,5,-1,1,-2,-14,-2,-11,5,10,5
80,0,-12,-13,-2,-6,-1,-9,6,7,-8,5,-2,2,-3,-14,-1,-10,4,11,6
81,1,-12,-12,-1,-5,-1,-8,6,7,-9,6,-2,2,-4,-14,0,-9,3,10,5
82,1,-11,-12,0,-4,-2,-9,5,8,-10,7,-2,3,-3,-14,-1,-10,2,9,5
83,1,-10,-12,1,-5,-1,-8,6,8,-10,8,-1,2,-4,-13,0,-11,3,8,6
84,0,-10,-11,1,-5,0,-9,7,9,-11,7,0,1,-3,-14,-1,-10,2,7,7
85,1,-10,-10,0,-6,0,-10,8,9,-12,8,0,1,-3,-14,0,-10,2,8,6
86,2,-9,-9,0,-7,0,-10,9,9,-12,9,0,1,-2,-15,-1,-9,2,8,7
87,3,-10,-8,-1,-8,-1,-11,8,9,-12,9,0,0,-1,-16,-2,-9,2,8,8
88,3,-10,-7,-2,-9,-2,-12,9,10,-11,9,-1,0,0,-15,-1,-8,3,9,9
89,3,-10,-7,-2,-8,-3,-13,9,9,-10,9,-2,-1,0,-16,-1,-7,4,8,10
90,2,-9,-8,-1,-7,-3,-12,8,9,-11,10,-3,-1,0,-15,-1,-6,5,8,11
91,3,-9,-8,0,-7,-3,-13,7,9,-10,10,-3,-1,0,-15,-2,-7,5,9,10
92,3,-8,-8,1,-7,-4,-13,8,10,-10,10,-4,-1,1,-15,-2,-6,6,9,11
93,2,-7,-8,1,-6,-4,-13,7,9,-9,11,-3,-2,1,-14,-3,-6,6,9,12
94,1,-8,-8,0,-7,-4,-13,6,8,-10,11,-4,-3,0,-14,-4,-7,6,8,12
95,1,-7,-7,0,-6,-5,-13,7,8,-10,10,-5,-2,1,-13,-5,-7,5,7,12
96,1,-7,-8,1,-6,-6,-13,8,9,-9,9,-6,-3,2,-14,-4,-7,4,7,11
97,2,-8,-8,2,-6,-5,-14,7,8,-8,10,-7,-4,3,-15,-3,-6,3,7,12
98,2,-7,-9,3,-7,-4,-13,6,8,-8,9,-8,-3,4,-14,-4,-6,2,8,12
99,2,-6,-8,3,-7,-4,-13,7,7,-8,8,-7,-4,5,-15,-4,-5,1,8,13
100,1,-5,-9,3,-7,-4,-12,8,6,-9,9,-6,-3,6,-15,-4,-5,0,9,12
101,0,-5,-10,4,-8,-3,-13,7,7,-9,8,-5,-2,5,-15,-4,-5,1,10,12
102,1,-4,-9,3,-7,-4,-14,6,8,-8,8,-5,-2,6,-16,-3,-4,1,9,13
103,2,-3,-9,3,-7,-3,-15,7,9,-7,9,-5,-2,5,-15,-4,-3,1,8,14
104,3,-3,-8,4,-8,-3,-14,8,10,-8,9,-6,-2,4,-16,-4,-2,2,8,14
105,4,-3,-8,5,-9,-3,-15,7,10,-9,8,-6,-3,3,-15,-4,-1,1,9,13
106,5,-4,-7,4,-10,-3,-14,7,9,-9,7,-5,-2,2,-14,-4,-2,1,8,14
107,5,-3,-7,5,-10,-2,-15,6,10,-8,8,-4,-3,3,-13,-3,-3,1,9,15
108,5,-4,-6,4,-10,-2,-16,6,10,-9,9,-5,-3,3,-14,-3,-4,2,10,15
109,4,-5,-6,4,-11,-2,-17,5,11,-8,10,-4,-2,4,-14,-4,-4,2,10,14
110,3,-4,-7,4,-10,-2,-17,6,12,-8,11,-3,-1,5,-13,-4,-3,1,9,14
111,2,-5,-6,4,-9,-3,-17,7,12,-8,12,-3,-2,5,-14,-3,-4,2,10,13
112,2,-6,-5,4,-9,-4,-18,8,12,-8,12,-2,-2,4,-15,-4,-4,3,11,13
113,1,-5,-4,5,-9,-4,-19,8,12,-9,12,-1,-3,5,-16,-4,-5,3,10,12
114,0,-5,-5,6,-10,-3,-18,7,13,-10,13,-2,-2,4,-16,-3,-5,3,10,12
115,0,-4,-5,5,-10,-3,-18,7,13,-10,13,-1,-1,4,-15,-2,-4,4,9,13
116,-1,-5,-4,6,-11,-2,-17,7,13,-9,13,0,-2,3,-15,-2,-5,5,10,14
117,0,-6,-4,6,-11,-2,-18,6,12,-8,14,0,-2,2,-15,-3,-5,5,9,13
118,1,-5,-4,5,-11,-2,-18,6,12,-9,13,0,-3,1,-14,-4,-4,4,8,12
119,1,-4,-5,4,-11,-2,-17,5,13,-8,13,-1,-2,2,-13,-4,-4,3,7,11
120,2,-3,-4,3,-12,-3,-18,4,12,-9,13,-1,-2,2,-14,-4,-3,3,7,11
121,3,-2,-5,4,-12,-2,-17,5,11,-10,12,-2,-3,3,-14,-5,-2,4,7,11
122,4,-1,-4,4,-11,-3,-18,4,11,-9,13,-1,-4,4,-13,-5,-3,3,8,11
123,4,-1,-5,5,-10,-4,-19,4,12,-9,13,-2,-5,5,-12,-5,-2,4,8,11
124,3,0,-5,6,-10,-3,-20,3,12,-9,14,-3,-6,6,-12,-5,-3,5,8,12
125,2,-1,-4,6,-9,-3,-21,2,12,-8,15,-4,-5,5,-12,-4,-2,4,7,12
126,2,-2,-4,6,-8,-4,-20,3,11,-9,15,-3,-6,6,-13,-4,-2,4,7,12
127,2,-2,-3,5,-7,-3,-19,2,12,-9,15,-4,-5,7,-12,-5,-1,5,7,13
128,1,-3,-4,5,-6,-2,-18,1,12,-8,16,-4,-6,6,-12,-4,0,4,8,14
129,0,-3,-5,4,-5,-2,-18,0,11,-9,16,-5,-7,6,-12,-5,-1,5,9,14
130,1,-3,-5,5,-4,-2,-18,-1,10,-10,16,-5,-8,6,-13,-6,0,5,8,13
131,0,-3,-5,6,-5,-2,-19,0,10,-9,15,-5,-9,7,-13,-5,0,5,7,14
132,1,-4,-6,5,-6,-2,-19,1,10,-8,14,-5,-10,7,-12,-4,0,6,8,15
133,2,-4,-6,6,-7,-1,-18,0,10,-8,15,-4,-9,8,-12,-5,0,6,9,14
134,3,-3,-6,6,-8,-2,-17,0,11,-8,16,-5,-8,8,-12,-4,-1,5,8,15
135,3,-4,-7,6,-8,-3,-16,-1,12,-9,16,-4,-7,8,-12,-5,0,6,7,15
136,3,-4,-7,5,-7,-4,-17,0,13,-8,16,-5,-6,8,-11,-4,-1,6,7,16
137,2,-4,-8,4,-8,-5,-16,-1,12,-8,16,-5,-7,9,-11,-3,-2,7,8,17
138,2,-3,-9,4,-8,-5,-15,-1,12,-9,17,-5,-6,10,-10,-2,-2,7,9,16
139,3,-4,-10,3,-8,-4,-14,-1,13,-8,18,-5,-5,9,-9,-2,-1,8,9,17
140,2,-4,-11,3,-8,-5,-13,0,13,-7,17,-5,-6,8,-9,-2,0,9,8,17
141,2,-5,-10,3,-8,-4,-13,0,14,-6,18,-5,-7,9,-9,-2,0,9,9,16
142,2,-4,-9,2,-7,-4,-14,-1,14,-7,17,-6,-8,9,-10,-2,0,9,10,16
143,3,-3,-8,2,-8,-5,-15,-2,13,-7,18,-6,-9,8,-10,-2,1,9,9,16
144,4,-2,-8,3,-8,-5,-15,-1,13,-7,17,-6,-10,8,-10,-3,1,9,10,16
145,3,-3,-8,4,-9,-5,-16,-2,12,-6,16,-5,-9,9,-9,-3,2,9,10,17
146,2,-3,-8,3,-8,-4,-16,-2,12,-6,16,-4,-9,8,-9,-2,2,9,10,17
147,3,-3,-8,2,-9,-5,-17,-1,12,-5,16,-5,-8,7,-9,-2,2,9,11,16
148,3,-4,-9,2,-9,-6,-17,-1,12,-6,17,-6,-7,7,-10,-3,2,8,10,16
149,3,-3,-9,1,-9,-5,-18,-2,12,-6,17,-7,-8,8,-9,-4,3,7,9,17
150,3,-3,-10,0,-10,-5,-18,-2,13,-6,18,-8,-8,9,-8,-3,2,6,9,18
151,4,-3,-11,0,-10,-4,-18,-1,14,-6,19,-9,-7,10,-7,-3,3,7,8,17
152,5,-2,-10,0,-9,-5,-17,0,13,-7,20,-10,-6,11,-7,-3,2,8,8,17
153,6,-1,-10,0,-8,-6,-16,0,14,-6,21,-10,-6,11,-8,-3,2,8,8,17
154,5,-1,-9,-1,-7,-7,-16,0,13,-7,21,-11,-7,12,-7,-3,3,9,8,18
155,5,-2,-8,-1,-6,-7,-16,-1,14,-6,20,-11,-8,12,-7,-3,4,10,8,18
156,6,-1,-7,-1,-6,-8,-17,-2,13,-5,19,-10,-9,11,-7,-2,3,9,7,17
157,5,-1,-7,-1,-7,-9,-16,-3,14,-5,20,-9,-9,12,-8,-1,4,8,7,17
158,6,-2,-8,0,-6,-8,-17,-4,15,-5,20,-9,-8,11,-9,-2,5,8,7,17
159,7,-2,-8,0,-6,-9,-17,-3,16,-6,21,-10,-9,10,-9,-3,5,9,6,17
160,8,-1,-8,-1,-5,-9,-17,-2,17,-7,21,-10,-8,11,-9,-4,6,10,7,17
161,8,-1,-9,0,-5,-10,-18,-3,17,-8,21,-9,-8,11,-10,-3,6,9,8,17
162,7,-1,-8,0,-6,-10,-18,-3,16,-9,21,-10,-8,12,-11,-4,5,9,9,16
163,7,0,-8,1,-5,-10,-17,-3,16,-10,20,-11,-9,13,-11,-4,4,9,8,15
164,6,1,-7,0,-6,-10,-18,-2,17,-11,21,-12,-10,12,-10,-4,5,10,9,16
165,6,1,-6,1,-5,-9,-19,-2,17,-12,22,-12,-11,11,-10,-5,4,9,9,15
166,7,2,-5,1,-6,-8,-20,-1,18,-11,23,-11,-11,12,-10,-5,5,9,9,15
167,7,1,-6,1,-7,-8,-20,0,19,-12,24,-10,-12,11,-11,-6,4,9,10,15
168,7,0,-7,1,-8,-9,-20,0,18,-12,25,-10,-12,10,-11,-5,5,10,9,14
169,7,0,-6,1,-7,-8,-19,-1,18,-12,26,-11,-11,9,-10,-5,6,9,9,13
170,6,0,-6,2,-6,-9,-19,-2,18,-13,26,-10,-10,9,-11,-5,6,8,9,12
171,5,1,-5,2,-6,-8,-19,-1,19,-12,27,-11,-9,10,-12,-5,5,9,8,12
172,6,1,-4,1,-5,-8,-18,-2,20,-13,27,-11,-10,11,-13,-4,6,10,7,11
173,7,2,-3,1,-6,-9,-19,-2,20,-14,27,-12,-11,10,-14,-3,6,10,8,11
174,8,2,-3,0,-6,-9,-19,-2,19,-14,26,-12,-10,9,-13,-3,7,11,8,12
175,7,3,-3,0,-7,-8,-19,-2,19,-15,26,-11,-9,9,-13,-2,8,11,8,13
176,7,2,-3,1,-8,-9,-19,-1,19,-15,26,-12,-8,9,-14,-3,7,12,8,12
177,7,3,-4,1,-8,-10,-19,-2,20,-14,27,-11,-7,10,-15,-2,6,13,7,12
178,7,4,-4,2,-7,-11,-19,-3,19,-15,28,-11,-6,10,-14,-1,5,13,6,11
179,7,4,-4,1,-8,-10,-18,-3,19,-15,28,-10,-7,11,-14,-2,4,13,5,10
180,8,5,-4,0,-8,-9,-19,-2,20,-16,28,-10,-7,11,-14,-1,5,14,4,9
181,8,6,-4,-1,-7,-10,-19,-2,19,-17,29,-10,-7,10,-15,-2,5,14,4,9
182,8,7,-5,-1,-7,-9,-19,-3,18,-16,29,-10,-6,10,-14,-3,4,15,3,10
183,7,7,-5,0,-7,-9,-18,-2,17,-16,30,-10,-6,11,-14,-2,4,15,4,9
184,7,6,-4,-1,-8,-8,-19,-3,18,-16,31,-11,-5,12,-14,-1,5,16,5,8
185,7,5,-4,-2,-9,-9,-19,-3,18,-15,31,-12,-5,11,-15,-1,5,16,5,8
186,8,6,-3,-2,-8,-10,-20,-3,19,-14,32,-11,-6,11,-16,0,4,15,4,7
187,7,7,-4,-3,-9,-11,-21,-2,20,-14,32,-12,-6,11,-17,0,4,14,4,8
188,7,6,-4,-3,-9,-12,-22,-3,19,-15,31,-11,-6,12,-18,-1,5,13,3,8
189,7,6,-4,-4,-9,-13,-23,-3,19,-15,31,-12,-6,11,-18,-1,5,13,2,8
190,6,7,-4,-4,-10,-14,-23,-3,19,-16,31,-12,-6,10,-19,-1,4,12,1,8
191,6,6,-3,-5,-11,-15,-22,-3,19,-17,31,-13,-5,10,-19,0,5,12,1,8
192,7,6,-4,-6,-10,-16,-23,-2,20,-17,30,-14,-4,9,-18,-1,4,13,2,7
193,7,5,-4,-7,-10,-17,-23,-1,21,-17,29,-13,-4,10,-17,-1,3,14,3,8
194,7,4,-3,-6,-9,-16,-24,-1,20,-18,29,-14,-5,10,-18,0,2,13,3,9
195,7,4,-4,-7,-10,-15,-24,-1,21,-19,30,-15,-5,10,-17,-1,1,14,3,8
196,7,3,-3,-7,-11,-14,-23,0,21,-19,31,-15,-5,9,-18,0,2,13,2,8
197,7,2,-3,-8,-10,-14,-24,-1,21,-20,30,-16,-4,8,-17,-1,1,12,1,8
198,7,2,-3,-7,-10,-15,-25,-2,22,-21,30,-15,-4,8,-16,-2,1,12,0,8
199,8,3,-3,-7,-9,-16,-24,-1,22,-20,29,-16,-3,7,-17,-2,0,12,1,8
200,8,3,-3,-6,-8,-15,-25,0,22,-20,28,-15,-3,8,-18,-1,0,12,0,7
201,7,2,-4,-7,-9,-14,-24,1,22,-19,29,-16,-3,9,-17,0,-1,11,-1,7
202,8,3,-3,-6,-9,-15,-25,2,21,-20,28,-17,-4,9,-17,1,0,12,0,8
203,8,2,-4,-5,-8,-14,-25,2,20,-20,29,-18,-4,9,-16,2,-1,11,-1,9
204,8,3,-4,-6,-9,-13,-24,2,19,-20,30,-19,-3,8,-16,3,-2,12,-1,9
205,7,4,-3,-7,-9,-13,-24,1,19,-20,31,-18,-3,9,-15,3,-3,13,0,9
206,6,4,-4,-8,-10,-14,-24,2,20,-19,30,-18,-2,8,-14,4,-2,13,1,8
207,7,3,-4,-9,-10,-14,-23,1,19,-20,30,-17,-3,7,-14,5,-3,13,0,9
208,7,2,-5,-9,-10,-14,-23,2,18,-20,30,-17,-2,7,-15,6,-4,14,0,10
209,6,2,-4,-8,-11,-13,-23,2,18,-20,30,-16,-3,6,-16,5,-4,13,0,11
210,5,2,-5,-8,-11,-13,-22,1,19,-21,29,-17,-4,7,-15,4,-4,12,-1,12
211,4,3,-5,-8,-11,-12,-21,2,19,-20,30,-18,-5,8,-16,5,-5,11,-2,11
212,4,3,-4,-9,-10,-13,-22,1,20,-19,29,-18,-4,9,-17,6,-6,10,-2,10
213,4,4,-3,-9,-10,-12,-22,1,19,-20,29,-18,-3,9,-16,5,-7,11,-3,11
214,4,5,-3,-10,-11,-12,-22,0,20,-21,28,-18,-4,9,-16,5,-7,11,-3,11
215,4,6,-3,-10,-11,-13,-22,-1,20,-21,28,-19,-5,8,-16,6,-6,11,-2,10
216,3,6,-3,-10,-11,-13,-22,-1,20,-22,28,-18,-6,9,-16,7,-7,12,-2,11
217,2,5,-2,-11,-11,-13,-21,0,21,-21,29,-19,-7,9,-15,6,-8,12,-2,10
218,2,5,-3,-12,-12,-12,-21,-1,20,-20,28,-18,-8,8,-16,7,-8,12,-3,10
219,1,4,-4,-13,-12,-13,-22,0,21,-21,29,-18,-9,8,-16,8,-8,13,-2,10
220,1,5,-4,-12,-13,-14,-21,-1,21,-21,28,-19,-10,9,-17,7,-8,14,-3,9
221,0,6,-3,-11,-14,-14,-22,-2,22,-22,28,-19,-11,9,-16,8,-7,15,-4,8
222,-1,7,-4,-12,-14,-13,-22,-2,21,-22,28,-19,-10,10,-15,8,-8,16,-4,7
223,-1,6,-5,-11,-15,-12,-23,-2,21,-23,28,-20,-9,11,-16,7,-7,17,-4,6
224,-1,7,-5,-10,-14,-11,-22,-1,22,-22,27,-20,-10,10,-17,7,-7,17,-3,7
225,-1,8,-5,-11,-13,-12,-21,-1,21,-22,26,-19,-11,11,-18,8,-6,18,-3,8
226,-2,8,-6,-12,-12,-12,-20,-2,20,-21,27,-20,-11,12,-18,8,-7,17,-2,8
227,-3,9,-6,-13,-11,-11,-20,-2,20,-22,26,-21,-12,11,-19,9,-7,16,-1,8
228,-4,9,-5,-12,-12,-11,-20,-3,20,-21,26,-22,-12,12,-19,10,-8,16,-2,9
229,-5,10,-6,-11,-12,-11,-20,-2,21,-21,27,-21,-12,12,-18,11,-9,15,-2,9
230,-4,10,-6,-10,-13,-10,-20,-3,20,-21,26,-20,-11,13,-19,11,-10,16,-1,8
231,-4,11,-7,-10,-13,-10,-19,-3,20,-22,26,-21,-10,12,-20,11,-11,15,-2,7
232,-5,10,-7,-10,-13,-9,-19,-4,20,-21,26,-20,-10,13,-19,11,-10,14,-1,8
233,-5,9,-7,-9,-12,-10,-20,-3,19,-20,27,-20,-11,14,-20,12,-9,15,-1,9
234,-5,10,-8,-10,-12,-10,-20,-3,19,-21,26,-20,-10,15,-19,12,-10,15,-2,10
235,-4,10,-8,-9,-11,-10,-19,-3,18,-22,26,-19,-10,14,-20,13,-9,15,-2,10
236,-4,9,-7,-8,-10,-9,-19,-3,19,-23,26,-19,-10,14,-21,14,-9,16,-2,11
237,-5,8,-6,-8,-9,-9,-18,-4,19,-23,26,-20,-10,14,-20,15,-9,17,-2,12
238,-6,7,-7,-8,-10,-10,-17,-4,18,-24,26,-21,-9,14,-20,16,-10,17,-2,13
239,-5,7,-8,-9,-10,-11,-16,-4,18,-25,27,-20,-9,15,-20,15,-11,17,-1,13
240,-4,7,-8,-10,-10,-10,-16,-4,18,-25,27,-20,-9,15,-19,14,-10,17,-1,12
241,-3,6,-7,-10,-10,-10,-16,-3,18,-24,27,-21,-8,16,-19,15,-10,17,0,13
242,-2,6,-8,-11,-11,-11,-17,-4,17,-25,26,-22,-7,15,-19,14,-9,18,1,13
243,-1,7,-8,-11,-10,-12,-16,-3,18,-26,25,-22,-8,14,-18,14,-8,19,0,12
244,-1,7,-8,-11,-9,-11,-15,-4,17,-27,24,-22,-9,13,-19,13,-8,18,1,13
245,0,6,-8,-10,-8,-10,-15,-4,16,-28,23,-22,-10,14,-19,12,-9,17,0,12
246,0,7,-9,-9,-7,-9,-15,-4,15,-28,22,-21,-11,14,-20,11,-10,18,-1,12
247,1,8,-9,-8,-8,-10,-16,-3,14,-29,23,-21,-12,13,-21,12,-9,19,-2,12
248,1,7,-8,-7,-8,-10,-15,-2,15,-30,23,-20,-12,13,-22,12,-8,20,-2,11
249,2,7,-7,-8,-9,-11,-16,-1,15,-31,24,-20,-13,13,-23,11,-7,21,-3,11
250,2,8,-8,-8,-8,-11,-15,-2,16,-30,24,-19,-13,14,-24,11,-7,21,-2,11
251,2,8,-9,-8,-7,-11,-15,-1,17,-30,25,-18,-14,15,-24,10,-6,21,-2,12
252,3,9,-9,-7,-6,-11,-16,-1,18,-31,24,-18,-15,15,-23,9,-7,21,-1,13
253,3,8,-8,-8,-7,-10,-17,-1,18,-30,23,-17,-15,15,-24,10,-6,22,0,12
254,2,9,-7,-7,-7,-9,-17,-1,17,-29,24,-18,-16,16,-24,10,-7,23,1,11
255,2,9,-7,-7,-8,-8,-17,-1,17,-29,24,-17,-15,17,-24,10,-8,22,1,10
256,3,8,-7,-8,-8,-9,-18,-1,18,-30,23,-16,-14,17,-25,9,-7,21,2,10
257,3,9,-6,-8,-7,-8,-19,-2,17,-29,22,-15,-13,16,-25,8,-7,22,2,9
258,3,10,-7,-8,-8,-7,-20,-2,17,-29,22,-15,-13,15,-24,7,-6,23,2,10
